Question,Answer
What is diabetes?,"Diabetes is a chronic condition where your body cannot properly process blood sugar (glucose). It occurs when your pancreas doesn't make enough insulin or your body can't use insulin effectively. This leads to high blood sugar levels which can cause serious health problems."
What is Type 1 diabetes?,"Type 1 diabetes is an autoimmune condition where your immune system attacks and destroys the insulin-producing cells in your pancreas. People with Type 1 diabetes need to take insulin daily to survive. It usually develops in children or young adults but can occur at any age."
What is Type 2 diabetes?,"Type 2 diabetes is the most common form of diabetes. It occurs when your body becomes resistant to insulin or doesn't produce enough insulin. It's often linked to lifestyle factors like being overweight, lack of exercise, and poor diet. It can often be managed with lifestyle changes and medication."
What is gestational diabetes?,"Gestational diabetes develops during pregnancy in women who didn't have diabetes before. It usually goes away after the baby is born, but it increases the risk of developing Type 2 diabetes later in life. It requires careful monitoring and management during pregnancy."
What is prediabetes?,"Prediabetes means your blood sugar levels are higher than normal but not high enough to be diagnosed as Type 2 diabetes. Fasting blood sugar between 100-125 mg/dL or HbA1c between 5.7-6.4% indicates prediabetes. With lifestyle changes, you can often prevent or delay progression to diabetes."
What is normal blood sugar level?,"Normal fasting blood sugar is 70-99 mg/dL. After meals (2 hours), normal levels are under 140 mg/dL. Random blood sugar under 140 mg/dL is also considered normal. If your levels are consistently higher, you should see a doctor for proper testing."
What are the symptoms of diabetes?,"Common symptoms of diabetes include: increased thirst and frequent urination, extreme hunger, unexplained weight loss, fatigue and weakness, blurred vision, slow-healing wounds, frequent infections, numbness or tingling in hands and feet, and darkened skin patches."
What causes diabetes?,"Type 1 diabetes is caused by an autoimmune reaction that destroys insulin-producing cells. Type 2 diabetes is caused by a combination of genetic factors and lifestyle factors including obesity, physical inactivity, poor diet, and age. Gestational diabetes is caused by hormonal changes during pregnancy."
How is diabetes diagnosed?,"Diabetes is diagnosed through blood tests including: Fasting Plasma Glucose test (126 mg/dL or higher indicates diabetes), Oral Glucose Tolerance Test (200 mg/dL or higher after 2 hours), HbA1c test (6.5% or higher), and Random Plasma Glucose test (200 mg/dL or higher with symptoms)."
What is HbA1c?,"HbA1c (glycated hemoglobin) is a blood test that measures your average blood sugar level over the past 2-3 months. Normal is below 5.7%, prediabetes is 5.7-6.4%, and diabetes is diagnosed at 6.5% or higher. For people with diabetes, the target is usually below 7%."
What is insulin?,"Insulin is a hormone produced by the pancreas that allows glucose from food to enter your cells and be used for energy. Without enough insulin or when insulin doesn't work properly, glucose stays in your blood causing high blood sugar levels."
What is insulin resistance?,"Insulin resistance occurs when cells in your muscles, fat, and liver don't respond well to insulin and can't easily take up glucose from your blood. Your pancreas makes more insulin to compensate, but eventually can't keep up, leading to Type 2 diabetes."
How to control blood sugar?,"Control blood sugar by: eating a balanced diet with controlled portions, choosing low-glycemic foods, exercising regularly (30 minutes daily), taking medications as prescribed, monitoring blood sugar regularly, staying hydrated, getting enough sleep (7-8 hours), and managing stress."
How to lower blood sugar quickly?,"To lower blood sugar: drink plenty of water to help flush out excess glucose, take a 15-30 minute walk, eat fiber-rich foods, avoid sugary snacks and drinks, take your medication as prescribed. If your blood sugar is very high (over 300 mg/dL), contact your doctor."
What foods should diabetics eat?,"Good foods for diabetics include: non-starchy vegetables (broccoli, spinach, peppers), whole grains (brown rice, quinoa, oats), lean proteins (chicken, fish, beans, tofu), healthy fats (nuts, olive oil, avocado), low-glycemic fruits (berries, apples, oranges), and legumes."
What foods should diabetics avoid?,"Foods to avoid or limit: sugary drinks (soda, fruit juice, sweetened tea), white bread and refined grains, fried foods, processed snacks and chips, candy and desserts, high-fat meats, full-fat dairy products, and foods high in sodium."
Can diabetics eat fruit?,"Yes, diabetics can eat fruit! Choose low-glycemic fruits like berries, apples, oranges, pears, and peaches. Eat fruit in moderation, prefer whole fruit over juice, and pair with protein or healthy fat to slow sugar absorption. Limit high-sugar fruits like mangoes, grapes, and bananas."
Can diabetics eat rice?,"Diabetics can eat rice in moderation. Choose brown rice, wild rice, or cauliflower rice over white rice. Control portion sizes (about 1/2 cup cooked), pair with vegetables and protein, and monitor how rice affects your blood sugar levels."
What is the glycemic index?,"The glycemic index (GI) measures how quickly foods raise blood sugar levels. Low GI foods (55 or less) are digested slowly and cause gradual rises. High GI foods (70 or more) cause rapid spikes. Diabetics should choose more low-GI foods to help control blood sugar."
How does exercise help diabetes?,"Exercise helps diabetes by: lowering blood sugar immediately, improving insulin sensitivity for 24-72 hours, helping with weight management, reducing cardiovascular risk, lowering blood pressure and cholesterol, improving mood and energy, and reducing stress."
What exercise is best for diabetes?,"Best exercises for diabetes include: walking (30 minutes daily), swimming, cycling, light weight training, yoga, dancing, and gardening. Start slowly if you're new to exercise. Check blood sugar before and after exercise. Avoid exercise if fasting blood sugar is above 250 mg/dL."
What is hypoglycemia?,"Hypoglycemia (low blood sugar) occurs when blood sugar drops below 70 mg/dL. Symptoms include: shakiness, sweating, fast heartbeat, dizziness, hunger, irritability, confusion, blurred vision, and weakness. Severe hypoglycemia can cause seizures or loss of consciousness."
How to treat low blood sugar?,"Follow the 15-15 rule: eat 15 grams of fast-acting carbs (4 glucose tablets, 4 oz juice, or regular soda), wait 15 minutes, then recheck blood sugar. Repeat if still below 70 mg/dL. Once stable, eat a small snack with protein. Seek help if symptoms don't improve."
What is hyperglycemia?,"Hyperglycemia (high blood sugar) occurs when blood sugar is too high, typically above 180 mg/dL after meals or above 130 mg/dL fasting. Symptoms include: increased thirst, frequent urination, blurred vision, fatigue, headache, and slow wound healing."
What causes high blood sugar?,"High blood sugar can be caused by: eating too many carbohydrates, missing diabetes medication or insulin, being sick or having an infection, stress or emotional upset, lack of physical activity, certain medications, and dehydration."
What is diabetic ketoacidosis?,"Diabetic ketoacidosis (DKA) is a serious complication when the body produces high levels of ketones. It occurs when there's not enough insulin. Symptoms include: nausea, vomiting, abdominal pain, fruity-smelling breath, confusion, and rapid breathing. DKA requires emergency medical care."
What are diabetes complications?,"Long-term diabetes complications include: heart disease and stroke, kidney damage (nephropathy), eye damage (retinopathy) and vision loss, nerve damage (neuropathy), foot problems and potential amputation, skin conditions, hearing impairment, and cognitive decline."
What is diabetic neuropathy?,"Diabetic neuropathy is nerve damage caused by prolonged high blood sugar. It most commonly affects the legs and feet, causing: numbness, tingling, burning pain, weakness, and loss of sensation. Good blood sugar control helps prevent and slow neuropathy."
What is diabetic retinopathy?,"Diabetic retinopathy is eye damage caused by high blood sugar damaging blood vessels in the retina. Symptoms include: floaters, blurred vision, dark areas in vision, and eventual vision loss. Regular eye exams can detect it early. Treatment includes laser therapy and injections."
What is diabetic nephropathy?,"Diabetic nephropathy is kidney damage caused by diabetes. High blood sugar damages the filtering units in the kidneys. Early stages have no symptoms; later stages cause: swelling in legs and feet, high blood pressure, fatigue, and protein in urine. Control blood sugar and pressure to prevent it."
How to prevent diabetes complications?,"Prevent complications by: keeping blood sugar in target range, controlling blood pressure (under 140/90), managing cholesterol levels, not smoking, exercising regularly, eating a healthy diet, taking medications as prescribed, and getting regular checkups including eye and foot exams."
What is metformin?,"Metformin is the most commonly prescribed medication for Type 2 diabetes. It works by reducing glucose production in the liver and improving insulin sensitivity. It's usually taken with meals. Common side effects include stomach upset and diarrhea, which often improve over time."
What are diabetes medications?,"Diabetes medications include: Metformin (reduces liver glucose production), Sulfonylureas (stimulate insulin production), DPP-4 inhibitors (help body make more insulin), GLP-1 agonists (slow digestion and lower blood sugar), SGLT2 inhibitors (help kidneys remove glucose), and insulin."
How does insulin therapy work?,"Insulin therapy replaces or supplements the insulin your body makes. Types include: rapid-acting (works in 15 minutes), short-acting (works in 30-60 minutes), intermediate-acting (works in 2-4 hours), and long-acting (works throughout the day). Your doctor will prescribe the right type and dose."
